PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,ACTUAL_DATE,PSTL_CODE,WTBDY_TYPE,NCCA_REG,GREAT_LAKE,LAB,SAMPLE_TYPE,MATRIX,ANALYTE,SAM_CODE,CAS_NO,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,RESULT,RESULT_UNITS,MDL,RL,HOLDING_TIME,DILUTION,ARRIVAL_TEMP,CONDITION_CODE,DATE_ANALYZED,METHOD,INSTRUMENT,CONDITION_COMMENT,FROM_FTIS,NAME_SCI,LENGTH_1,LENGTH_2,WEIGHT_1,WEIGHT_2,NARS_FLAG,NARS_COMMENT
3/18/2026,2011570,NCA_TX-10377,NCA20_TX-10054,1,6/1/2020,,TX,MARINE,Gulf,,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,148672,75421-R1,11.5,ng/wet g,0.01,0.02,87,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,Y,Micropogonias undulatus,250,240,200,170,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011576,NGL_MI-10002,NGL20_MI-10131,1,6/2/2020,,MI,GREAT_LAKES,Great Lakes,Lake Superior,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,154972,75419-R1,190,ng/wet g,0.01,0.02,86,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,N,Lota lota,434,,540,,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011578,NCA_TX-10360,NCA20_TX-10040,1,6/3/2020,,TX,MARINE,Gulf,,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,148792,75423-R1,17.5,ng/wet g,0.01,0.02,85,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,N,Micropogonias undulatus,164,161,80,40,Q,Exclude from analysis. Longest fish less than 190 mm;Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011580,NGL_MI-10552,NGL20_MI-10151,1,6/3/2020,,MI,GREAT_LAKES,Great Lakes,Lake Superior,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,154992,75420-R1,84.5,ng/wet g,0.01,0.02,85,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,Y,Catostomus catostomus,448,,900,,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011575,NCA_TX-10226,NCA20_TX-10015,1,6/2/2020,,TX,MARINE,Gulf,,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,148652,75422-R1,18,ng/wet g,0.01,0.02,86,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,N,Micropogonias undulatus,175,132,80,30,Q,Exclude from analysis. Longest fish less than 190 mm;Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011577,NGL_IN-10018,NPA20-07,1,6/2/2020,,IN,GREAT_LAKES,Great Lakes,Lake Michigan,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,154832,75426-R1,46.5,ng/wet g,0.01,0.02,86,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,Y,Perca flavescens,207,207,100,100,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011589,NCA_TX-10349,NCA20_TX-10060,1,6/4/2020,,TX,MARINE,Gulf,,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,148732,75425-R1,107,ng/wet g,0.01,0.02,84,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,Y,Bagre marinus,440,450,720,730,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011598,NGL_IN-10016,NPA20-03,1,6/4/2020,,IN,GREAT_LAKES,Great Lakes,Lake Michigan,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-24026,154892,81801-R1,66.1,ng/wet g,0.01,0.02,340,1,-27,OK,5/10/2021,EPA 245.7,Leeman Hydra AF Gold+,,Y,Aplodinotus grunniens,387,,720,,,
3/18/2026,2011587,NCA_TX-10367,NCA20_TX-10043,1,6/4/2020,,TX,MARINE,Gulf,,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,149472,75424-R1,154,ng/wet g,0.01,0.02,84,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,N,Bagre marinus,355,550,370,1420,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
3/18/2026,2011596,NGL_MI-10001,NGL20_MI-10130,1,6/5/2020,,MI,GREAT_LAKES,Great Lakes,Lake Superior,PHYSIS,FPLG,TISSUE,HG,REGULAR,7439-97-6,E-21012,154652,75428-R1,40.8,ng/wet g,0.01,0.02,83,1,-56,OK,8/27/2020,EPA 245.7,Leeman Hydra AF Gold+,,Y,Prosopium cylindraceum,321,328,220,200,Q,Measured results for Blank Laboratory Control Solution Spike in this batch are questionable. All other QC samples are within range.
